"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",10,1,0.571717,0.693628,0.67801,0.652822,0.722119,0.722217,0.569456
"adhoc6",20,1,0.741414,0.722505,0.723887,0.708874,0.746125,0.761891,0.71439
"adhoc6",30,1,0.761616,0.732924,0.732684,0.727427,0.74595,0.754845,0.683575
"adhoc6",40,1,0.803367,0.772053,0.773653,0.770943,0.782886,0.814968,0.790499
"adhoc6",50,1,0.757576,0.807212,0.809051,0.806925,0.815574,0.855896,0.839357
"adhoc6",60,1,0.76431,0.810304,0.812208,0.81258,0.817145,0.863522,0.846173
"adhoc6",70,1,0.834343,0.852971,0.854402,0.853161,0.858048,0.900379,0.899244
"adhoc6",80,1,0.839731,0.822096,0.82512,0.824515,0.828086,0.867886,0.865729
"adhoc6",90,1,0.783165,0.832372,0.835623,0.835741,0.839142,0.882991,0.876211
"adhoc6",100,1,0.806061,0.858096,0.860123,0.860184,0.863802,0.908977,0.906227
"adhoc6",10,2,0.749495,0.649403,0.634793,0.607613,0.678399,0.622649,0.519408
"adhoc6",20,2,0.66734,0.662698,0.668968,0.650322,0.68771,0.684228,0.547075
"adhoc6",30,2,0.761616,0.717914,0.717141,0.712102,0.7301,0.755934,0.645369
"adhoc6",40,2,0.618855,0.762228,0.767019,0.760858,0.775611,0.793809,0.763074
"adhoc6",50,2,0.776431,0.783864,0.785103,0.783324,0.792489,0.835091,0.807553
"adhoc6",60,2,0.854545,0.792628,0.794349,0.793063,0.79934,0.842968,0.804519
"adhoc6",70,2,0.79798,0.831701,0.832697,0.832738,0.836782,0.882259,0.863575
"adhoc6",80,2,0.841077,0.826839,0.828981,0.830712,0.83271,0.880826,0.861155
"adhoc6",90,2,0.845118,0.835262,0.837143,0.837238,0.839879,0.889414,0.875187
"adhoc6",100,2,0.912458,0.85447,0.856038,0.856443,0.858395,0.910487,0.898424
"adhoc6",10,3,0.705051,0.672329,0.662341,0.633233,0.70331,0.641845,0.532778
"adhoc6",20,3,0.676768,0.703251,0.70003,0.688971,0.719539,0.720625,0.623894
"adhoc6",30,3,0.718519,0.772463,0.774329,0.767563,0.786819,0.823722,0.781458
"adhoc6",40,3,0.783165,0.7809,0.782461,0.7796,0.791399,0.815006,0.790704
"adhoc6",50,3,0.789899,0.792741,0.793038,0.791858,0.800093,0.837569,0.825187
"adhoc6",60,3,0.772391,0.804532,0.808556,0.805585,0.814435,0.845896,0.834892
"adhoc6",70,3,0.854545,0.828753,0.83162,0.829755,0.835751,0.886245,0.873165
"adhoc6",80,3,0.785859,0.839597,0.840577,0.841271,0.84386,0.894789,0.883512
"adhoc6",90,3,0.785859,0.838294,0.840165,0.840754,0.843701,0.889071,0.881808
"adhoc6",100,3,0.874747,0.853688,0.855338,0.856406,0.857982,0.903702,0.900713
"adhoc6",10,4,0.649832,0.700035,0.695148,0.664181,0.734288,0.771767,0.655166
"adhoc6",20,4,0.682155,0.676811,0.676547,0.663086,0.696966,0.69265,0.574883
"adhoc6",30,4,0.715825,0.756819,0.757034,0.75036,0.769227,0.781581,0.738472
"adhoc6",40,4,0.818182,0.739139,0.745166,0.738169,0.755786,0.786201,0.741498
"adhoc6",50,4,0.830303,0.791556,0.793858,0.791551,0.801678,0.835393,0.81481
"adhoc6",60,4,0.819529,0.812167,0.813738,0.813322,0.81963,0.871211,0.860276
"adhoc6",70,4,0.800673,0.869433,0.870855,0.870121,0.873678,0.914649,0.915099
"adhoc6",80,4,0.830303,0.817794,0.819048,0.819382,0.823005,0.87808,0.859876
"adhoc6",90,4,0.850505,0.833593,0.834882,0.83537,0.838191,0.887445,0.862589
"adhoc6",100,4,0.855892,0.845802,0.84882,0.848164,0.8511,0.896688,0.889376
"adhoc6",10,5,0.564983,0.642475,0.626008,0.60317,0.668851,0.590045,0.415503
"adhoc6",20,5,0.651178,0.723934,0.72237,0.710706,0.741582,0.738412,0.675932
"adhoc6",30,5,0.684848,0.706124,0.706977,0.700612,0.720609,0.737632,0.614275
"adhoc6",40,5,0.777778,0.737863,0.743603,0.737802,0.752194,0.786266,0.726076
"adhoc6",50,5,0.73064,0.774757,0.779451,0.776216,0.786593,0.826505,0.799905
"adhoc6",60,5,0.795286,0.810364,0.811767,0.812985,0.816743,0.859942,0.848465
"adhoc6",70,5,0.733333,0.818423,0.82123,0.820286,0.824855,0.866008,0.846735
"adhoc6",80,5,0.811448,0.850105,0.851934,0.851858,0.855352,0.895661,0.894559
"adhoc6",90,5,0.789899,0.858365,0.859883,0.860187,0.862902,0.904794,0.906927
"adhoc6",100,5,0.855892,0.843448,0.844682,0.846293,0.847802,0.897967,0.887102
"adhoc6",10,6,0.715825,0.646894,0.639133,0.609431,0.680956,0.684089,0.507017
"adhoc6",20,6,0.706397,0.708939,0.709755,0.698489,0.730512,0.741873,0.632172
"adhoc6",30,6,0.811448,0.73542,0.734759,0.728248,0.749762,0.752764,0.715346
"adhoc6",40,6,0.788552,0.756897,0.761653,0.756932,0.769601,0.794666,0.748057
"adhoc6",50,6,0.691582,0.793968,0.795267,0.792738,0.801212,0.838817,0.81734
"adhoc6",60,6,0.812795,0.799619,0.805443,0.801111,0.810684,0.853943,0.834374
"adhoc6",70,6,0.649832,0.758415,0.760244,0.76295,0.765467,0.800085,0.744498
"adhoc6",80,6,0.715825,0.825055,0.827632,0.828318,0.831927,0.873177,0.858808
"adhoc6",90,6,0.861279,0.832896,0.834895,0.83585,0.838523,0.885026,0.876512
"adhoc6",100,6,0.86532,0.831107,0.833044,0.833984,0.83582,0.888518,0.867703
"adhoc6",10,7,0.579798,0.726642,0.717277,0.691686,0.753282,0.757979,0.595027
"adhoc6",20,7,0.517845,0.708186,0.710636,0.696293,0.730719,0.701431,0.639518
"adhoc6",30,7,0.616162,0.740502,0.74269,0.734795,0.754018,0.766865,0.722916
"adhoc6",40,7,0.740067,0.819859,0.823703,0.819362,0.830504,0.878774,0.854091
"adhoc6",50,7,0.777778,0.813589,0.813886,0.812551,0.820255,0.866935,0.85451
"adhoc6",60,7,0.771044,0.821017,0.821526,0.820681,0.82756,0.874735,0.865943
"adhoc6",70,7,0.838384,0.811344,0.813303,0.813511,0.817504,0.860889,0.844536
"adhoc6",80,7,0.775084,0.809463,0.811584,0.811774,0.816144,0.858966,0.83956
"adhoc6",90,7,0.826263,0.837692,0.840128,0.840474,0.843418,0.893392,0.882718
"adhoc6",100,7,0.784512,0.832079,0.835106,0.834556,0.837771,0.886486,0.876376
"adhoc6",10,8,0.531313,0.623394,0.606903,0.581388,0.649727,0.631177,0.282002
"adhoc6",20,8,0.551515,0.710079,0.709406,0.696006,0.729915,0.735186,0.676052
"adhoc6",30,8,0.765657,0.749906,0.75114,0.744415,0.763881,0.775212,0.724149
"adhoc6",40,8,0.723906,0.753568,0.754908,0.751764,0.763351,0.78816,0.739085
"adhoc6",50,8,0.727946,0.780547,0.781875,0.779549,0.789216,0.815272,0.787312
"adhoc6",60,8,0.753535,0.835172,0.837563,0.835597,0.841622,0.892186,0.879692
"adhoc6",70,8,0.884175,0.83223,0.83464,0.835118,0.838579,0.892245,0.870889
"adhoc6",80,8,0.753535,0.799188,0.801314,0.801669,0.804808,0.845875,0.826243
"adhoc6",90,8,0.849158,0.842335,0.844096,0.845374,0.8479,0.887424,0.886288
"adhoc6",100,8,0.855892,0.8661,0.866634,0.867145,0.868813,0.924395,0.914699
"adhoc6",10,9,0.210774,0.728675,0.709755,0.68772,0.756133,0.705155,0.663725
"adhoc6",20,9,0.482828,0.738028,0.742431,0.726786,0.76155,0.782139,0.73392
"adhoc6",30,9,0.695623,0.762672,0.760911,0.755943,0.773902,0.795674,0.771033
"adhoc6",40,9,0.803367,0.754203,0.757234,0.753425,0.766296,0.778412,0.750259
"adhoc6",50,9,0.698316,0.800987,0.804858,0.802503,0.812586,0.844998,0.833587
"adhoc6",60,9,0.818182,0.806466,0.810397,0.807296,0.815721,0.85948,0.842257
"adhoc6",70,9,0.858586,0.827223,0.829591,0.829593,0.834506,0.878821,0.862742
"adhoc6",80,9,0.83569,0.839204,0.843077,0.841727,0.84638,0.890086,0.888659
"adhoc6",90,9,0.83165,0.857953,0.86006,0.859699,0.862385,0.911494,0.908634
"adhoc6",100,9,0.849158,0.840387,0.843034,0.842977,0.846079,0.89701,0.885521
"adhoc6",10,10,0.729293,0.755603,0.739261,0.714429,0.781888,0.801933,0.726419
"adhoc6",20,10,0.709091,0.688718,0.691558,0.676719,0.712249,0.683472,0.591222
"adhoc6",30,10,0.573064,0.783426,0.786762,0.778794,0.796927,0.833345,0.802139
"adhoc6",40,10,0.800673,0.741436,0.746155,0.74013,0.755333,0.777083,0.712182
"adhoc6",50,10,0.76431,0.764199,0.767819,0.764038,0.774424,0.809692,0.783403
"adhoc6",60,10,0.757576,0.82069,0.822329,0.821075,0.828781,0.871722,0.871936
"adhoc6",70,10,0.762963,0.805275,0.804987,0.808052,0.811025,0.850686,0.844274
"adhoc6",80,10,0.857239,0.836778,0.837417,0.838146,0.841516,0.883835,0.88544
"adhoc6",90,10,0.837037,0.829899,0.830698,0.832102,0.833516,0.878071,0.868056
"adhoc6",100,10,0.834343,0.824976,0.828695,0.828344,0.831457,0.881636,0.859825
"adhoc6",10,11,0.461279,0.638506,0.625825,0.601884,0.667239,0.649723,0.41449
"adhoc6",20,11,0.66734,0.760881,0.753481,0.747007,0.773646,0.784436,0.732637
"adhoc6",30,11,0.660606,0.702113,0.704517,0.697043,0.716465,0.725266,0.632895
