"collection","n_t","trial","actual","KD","ML","MSQD","RES","SHw","SHwo"
"adhoc6",10,1,0.559286,0.640551,0.628398,0.601524,0.671025,0.669992,0.55577
"adhoc6",20,1,0.706408,0.677236,0.679062,0.664441,0.700421,0.721961,0.684365
"adhoc6",30,1,0.745053,0.729517,0.72929,0.723166,0.741804,0.761235,0.738388
"adhoc6",40,1,0.759001,0.74007,0.742764,0.738803,0.751424,0.786697,0.775423
"adhoc6",50,1,0.746885,0.773585,0.777152,0.774472,0.783487,0.824577,0.822013
"adhoc6",60,1,0.747146,0.785443,0.790021,0.789547,0.795673,0.840406,0.841201
"adhoc6",70,1,0.796627,0.822191,0.824408,0.822877,0.828623,0.875607,0.876949
"adhoc6",80,1,0.793611,0.786847,0.790582,0.789354,0.793124,0.837654,0.835932
"adhoc6",90,1,0.801455,0.813226,0.816889,0.816591,0.820288,0.869937,0.8652
"adhoc6",100,1,0.800183,0.849093,0.851612,0.851651,0.855969,0.904071,0.909923
"adhoc6",10,2,0.682585,0.617302,0.605967,0.57722,0.648734,0.611893,0.561225
"adhoc6",20,2,0.661818,0.623747,0.631276,0.612642,0.649633,0.655054,0.553697
"adhoc6",30,2,0.704984,0.70191,0.701725,0.695885,0.715525,0.751493,0.689484
"adhoc6",40,2,0.639802,0.727817,0.73394,0.726801,0.743262,0.771463,0.744317
"adhoc6",50,2,0.71495,0.738269,0.740644,0.738163,0.747881,0.792702,0.764297
"adhoc6",60,2,0.824182,0.780738,0.782376,0.779912,0.788208,0.833806,0.816359
"adhoc6",70,2,0.783945,0.806844,0.808525,0.807895,0.812569,0.861984,0.85358
"adhoc6",80,2,0.80749,0.810712,0.813312,0.814063,0.817102,0.869174,0.858388
"adhoc6",90,2,0.828455,0.810184,0.812771,0.812202,0.815475,0.867797,0.858994
"adhoc6",100,2,0.896453,0.828453,0.830394,0.830325,0.832793,0.886959,0.879302
"adhoc6",10,3,0.68267,0.624632,0.619529,0.587612,0.660991,0.609854,0.558188
"adhoc6",20,3,0.670529,0.675524,0.67294,0.660047,0.693125,0.701069,0.65079
"adhoc6",30,3,0.700228,0.744853,0.748015,0.740896,0.760031,0.800383,0.7693
"adhoc6",40,3,0.749458,0.7525,0.755418,0.751995,0.763063,0.788239,0.784422
"adhoc6",50,3,0.772622,0.770958,0.77245,0.770228,0.778886,0.820317,0.82007
"adhoc6",60,3,0.76538,0.781456,0.786409,0.782965,0.792323,0.827521,0.825197
"adhoc6",70,3,0.844081,0.806091,0.809497,0.807375,0.81407,0.870149,0.860386
"adhoc6",80,3,0.764736,0.807555,0.808995,0.809051,0.811923,0.867734,0.858208
"adhoc6",90,3,0.769036,0.81816,0.820767,0.820679,0.82433,0.875494,0.872329
"adhoc6",100,3,0.831558,0.828768,0.830169,0.830988,0.832596,0.879857,0.882341
"adhoc6",10,4,0.589733,0.643856,0.640536,0.608264,0.679042,0.709529,0.609307
"adhoc6",20,4,0.677948,0.646989,0.648234,0.633123,0.667268,0.666493,0.60089
"adhoc6",30,4,0.720854,0.722659,0.723944,0.715918,0.73544,0.754848,0.714236
"adhoc6",40,4,0.789119,0.675557,0.682173,0.674331,0.693467,0.731671,0.674927
"adhoc6",50,4,0.788655,0.762532,0.766364,0.763164,0.774042,0.810395,0.803113
"adhoc6",60,4,0.78232,0.784522,0.786115,0.785463,0.791542,0.85222,0.838867
